Invoicing Vendor Number,Vendor,Line ID ,Invoicing Vendor Name,Invoice Line Description,PO Line Description,Extended line amount_1,Extended line amount_2,G/L Account number,Processing Date,Invoice Number,Line Number,PO Number,PO Line,Work Order Number,WO Task,Invoice gross amount_1,Invoice gross amount_2,Date invoice entered,Catalog Item Number,Catalog Item Name,Entity Number,Entity Name,Date and time of last check,Check Number,Check Date
81,VENDOR 2,2895,VENDOR 2,,PROPANE FOR SITE FACILITES-FORKLIFT,6.04,USD,PR-921101-51-17-01-0000-000000,7/31/2016,          9938160796,1,A160276,1,,,7.77,USD,8/2/2016,                1001,MATERIALS,,,8/5/2016 4:33,47279,8/5/2016
11357,VENDOR 157,2896,VENDOR 157,,,163.62,USD,PR-921101-51-17-01-0000-000000,7/18/2016,HOLLOHAN-MILEAGE0713,1,,,,,163.62,USD,7/18/2016,                1000,SERVICES,,,7/22/2016 3:33,47141,7/22/2016
81,VENDOR 2,2897,VENDOR 2,,PROPANE FOR SITE FACILITES-FORKLIFT,20,USD,PR-921101-51-17-01-0000-000000,7/21/2016,          9053525993,1,A160276,1,,,120.09,USD,7/21/2016,                1001,MATERIALS,,,7/22/2016 3:33,47101,7/22/2016
12762,VENDOR 215,2898,VENDOR 215,,,195.48,USD,PR-921101-51-17-01-0000-000000,7/25/2016,STEINER-MILEAGE-0614,1,,,,,195.48,USD,7/25/2016,                1000,SERVICES,,,7/29/2016 2:37,47257,7/29/2016
1644,VENDOR 59,2899,VENDOR 59,,,575.97,USD,PR-921101-51-17-01-0000-000000,7/27/2016,HQPC 07-27-16,1,,,,,849.96,USD,7/27/2016,                1000,SERVICES,,,7/29/2016 2:37,47250,7/29/2016
12905,VENDOR 225,2900,VENDOR 225,,,167.4,USD,PR-921101-51-17-01-0000-000000,7/29/2016,COOPER-MILEAGE072116,1,,,,,167.4,USD,7/29/2016,                1000,SERVICES,,,8/5/2016 4:33,47324,8/5/2016
12762,VENDOR 215,2901,VENDOR 215,,,151.2,USD,PR-921101-51-17-01-0000-000000,7/29/2016,STEINER-MILEAGE70616,1,,,,,151.2,USD,7/29/2016,                1000,SERVICES,,,8/5/2016 4:33,47356,8/5/2016
12762,VENDOR 215,2902,VENDOR 215,,,60.48,USD,PR-921101-51-17-01-0000-000000,7/29/2016,STEINER-TRVL-072716,1,,,,,542.7,USD,7/29/2016,                1000,SERVICES,,,8/5/2016 4:33,47356,8/5/2016
12757,VENDOR 214,2903,VENDOR 214,,HQ FUEL EXPENSES,1318.54,USD,PR-921101-51-17-01-0000-000000,7/31/2016,46341473-JUL16,1,A160314,1,,,3794.06,USD,8/1/2016,                1001,MATERIALS,,,8/12/2016 2:45,47479,8/12/2016
12816,VENDOR 217,2904,VENDOR 217,,,93.96,USD,PR-921101-51-17-01-0000-000000,7/26/2016,COATMAN-MILEAGE72716,1,,,,,93.96,USD,7/26/2016,                1000,SERVICES,,,7/29/2016 2:37,47276,7/29/2016
11357,VENDOR 157,2905,VENDOR 157,,,60.48,USD,PR-921101-51-17-01-0000-000000,9/16/2016,HOLLOHAN-MILEAGE0915,1,,,,,129.6,USD,9/16/2016,                1000,SERVICES,,,9/23/2016 3:38,48006,9/23/2016
12816,VENDOR 217,2906,VENDOR 217,,,125.28,USD,PR-921101-51-17-01-0000-000000,8/30/2016,COATMAN-MILEAGE-0901,1,,,,,125.28,USD,8/30/2016,                1000,SERVICES,,,9/2/2016 2:55,47771,9/2/2016
10166,VENDOR 123,2907,VENDOR 123,,,145.58,USD,PR-921101-51-17-01-0000-000000,8/31/2016,WOOD-LBE-AUG16,2,,,,,158.43,USD,8/31/2016,                1000,SERVICES,,,9/2/2016 2:55,47700,9/2/2016
81,VENDOR 2,2908,VENDOR 2,,PROPANE FOR SITE FACILITES-FORKLIFT,6.04,USD,PR-921101-51-17-01-0000-000000,8/31/2016,          9938872531,4,A160276,1,,,7.77,USD,9/2/2016,                1001,MATERIALS,,,9/9/2016 4:57,47778,9/9/2016
12827,VENDOR 218,2909,VENDOR 218,,,120.96,USD,PR-921101-51-17-01-0000-000000,8/31/2016,ROTHWELL-MILEAGE0831,1,,,,,120.96,USD,9/1/2016,                1000,SERVICES,,,9/9/2016 4:57,47793,9/9/2016
12757,VENDOR 214,2910,VENDOR 214,,HQ FUEL EXPENSES,950.97,USD,PR-921101-51-17-01-0000-000000,9/7/2016,46705638-AUG16,1,A160314,1,,,3728.64,USD,9/7/2016,                1001,MATERIALS,,,9/9/2016 4:57,47856,9/9/2016
1644,VENDOR 59,2911,VENDOR 59,,,13.38,USD,PR-921101-51-17-01-0000-000000,5/31/2017,HQPC-05-31-17,7,,,,,538,USD,6/1/2017,                1000,SERVICES,,,6/1/2017 8:52,OFFSET,6/1/2017
1644,VENDOR 59,2912,VENDOR 59,,,27.82,USD,PR-921101-51-17-01-0000-000000,5/31/2017,HQPC-05-31-17,8,,,,,538,USD,6/1/2017,                1000,SERVICES,,,6/1/2017 8:52,OFFSET,6/1/2017
1644,VENDOR 59,2913,VENDOR 59,,,124.12,USD,PR-921101-51-17-01-0000-000000,5/31/2017,HQPC-05-31-17,10,,,,,538,USD,6/1/2017,                1000,SERVICES,,,6/1/2017 8:52,OFFSET,6/1/2017
1644,VENDOR 59,2914,VENDOR 59,,,10.17,USD,PR-921101-51-17-01-0000-000000,5/31/2017,HQPC-05-31-17,12,,,,,538,USD,6/1/2017,                1000,SERVICES,,,6/1/2017 8:52,OFFSET,6/1/2017
1644,VENDOR 59,2915,VENDOR 59,,,81.08,USD,PR-921101-51-17-01-0000-000000,5/31/2017,HQPC-05-31-17,13,,,,,538,USD,6/1/2017,                1000,SERVICES,,,6/1/2017 8:52,OFFSET,6/1/2017
1644,VENDOR 59,2916,VENDOR 59,,,-13.38,USD,PR-921101-51-17-01-0000-000000,5/31/2017,HQPC-05-31-17-CR01,7,,,,,-538,USD,6/1/2017,                1000,SERVICES,,,6/1/2017 8:52,OFFSET,6/1/2017
1644,VENDOR 59,2917,VENDOR 59,,,-27.82,USD,PR-921101-51-17-01-0000-000000,5/31/2017,HQPC-05-31-17-CR01,8,,,,,-538,USD,6/1/2017,                1000,SERVICES,,,6/1/2017 8:52,OFFSET,6/1/2017
1644,VENDOR 59,2918,VENDOR 59,,,-124.12,USD,PR-921101-51-17-01-0000-000000,5/31/2017,HQPC-05-31-17-CR01,10,,,,,-538,USD,6/1/2017,                1000,SERVICES,,,6/1/2017 8:52,OFFSET,6/1/2017
1644,VENDOR 59,2919,VENDOR 59,,,-10.17,USD,PR-921101-51-17-01-0000-000000,5/31/2017,HQPC-05-31-17-CR01,12,,,,,-538,USD,6/1/2017,                1000,SERVICES,,,6/1/2017 8:52,OFFSET,6/1/2017
1644,VENDOR 59,2920,VENDOR 59,,,-81.08,USD,PR-921101-51-17-01-0000-000000,5/31/2017,HQPC-05-31-17-CR01,13,,,,,-538,USD,6/1/2017,                1000,SERVICES,,,6/1/2017 8:52,OFFSET,6/1/2017
81,VENDOR 2,2921,VENDOR 2,,PROPANE FOR SITE FACILITES-FORKLIFT,14.26,USD,PR-921101-51-17-01-0000-000000,6/6/2017,          9945392951,1,A170260,1,,,42.35,USD,6/6/2017,                1001,MATERIALS,,,6/9/2017 3:57,51789,6/9/2017
1644,VENDOR 59,2922,VENDOR 59,,,13.38,USD,PR-921101-51-17-01-0000-000000,5/31/2017,HQPC 05-31-17,7,,,,,538,USD,6/1/2017,                1000,SERVICES,,,6/2/2017 4:28,51752,6/2/2017
1644,VENDOR 59,2923,VENDOR 59,,,27.82,USD,PR-921101-51-17-01-0000-000000,5/31/2017,HQPC 05-31-17,8,,,,,538,USD,6/1/2017,                1000,SERVICES,,,6/2/2017 4:28,51752,6/2/2017
1644,VENDOR 59,2924,VENDOR 59,,,124.12,USD,PR-921101-51-17-01-0000-000000,5/31/2017,HQPC 05-31-17,10,,,,,538,USD,6/1/2017,                1000,SERVICES,,,6/2/2017 4:28,51752,6/2/2017
1644,VENDOR 59,2925,VENDOR 59,,,10.17,USD,PR-921101-51-17-01-0000-000000,5/31/2017,HQPC 05-31-17,12,,,,,538,USD,6/1/2017,                1000,SERVICES,,,6/2/2017 4:28,51752,6/2/2017
1644,VENDOR 59,2926,VENDOR 59,,,81.08,USD,PR-921101-51-17-01-0000-000000,5/31/2017,HQPC 05-31-17,13,,,,,538,USD,6/1/2017,                1000,SERVICES,,,6/2/2017 4:28,51752,6/2/2017
13194,VENDOR 241,2927,VENDOR 241,,,119.84,USD,PR-921101-51-17-01-0000-000000,6/14/2017,OATNEY-MILEAGE060817,1,,,,,119.84,USD,6/14/2017,                1000,SERVICES,,,6/16/2017 3:46,51962,6/16/2017
12757,VENDOR 214,2928,VENDOR 214,,HQ FUEL EXPENSES,945.14,USD,PR-921101-51-17-01-0000-000000,6/14/2017,49972207-MAY17,1,A170110,1,,,3646.04,USD,6/14/2017,                1001,MATERIALS,,,6/16/2017 3:46,51982,6/16/2017
11357,VENDOR 157,2929,VENDOR 157,,,62.06,USD,PR-921101-51-17-01-0000-000000,6/26/2017,HOLLOHAN-TRVL-062017,1,,,,,265.56,USD,6/26/2017,                1000,SERVICES,,,6/30/2017 2:20,52133,6/30/2017
11357,VENDOR 157,2930,VENDOR 157,,,130.54,USD,PR-921101-51-17-01-0000-000000,6/20/2017,HOLLOHAN-MILEAGE0607,1,,,,,130.54,USD,6/20/2017,                1000,SERVICES,,,6/23/2017 1:14,52041,6/23/2017
1644,VENDOR 59,2931,VENDOR 59,,,93.09,USD,PR-921101-51-17-01-0000-000000,6/27/2017,RHPC-06-27-17,2,,,,,494.31,USD,6/27/2017,                1000,SERVICES,,,6/30/2017 2:20,52145,6/30/2017
1644,VENDOR 59,2932,VENDOR 59,,,93.09,USD,PR-921101-51-17-01-0000-000000,6/27/2017,RHPC-06-27-17,3,,,,,494.31,USD,6/27/2017,                1000,SERVICES,,,6/30/2017 2:20,52145,6/30/2017
1644,VENDOR 59,2933,VENDOR 59,,,77.58,USD,PR-921101-51-17-01-0000-000000,6/27/2017,RHPC-06-27-17,7,,,,,494.31,USD,6/27/2017,                1000,SERVICES,,,6/30/2017 2:20,52145,6/30/2017
1644,VENDOR 59,2934,VENDOR 59,,,81.32,USD,PR-921101-51-17-01-0000-000000,6/28/2017,HQPC-062817,1,,,,,462.63,USD,6/28/2017,                1000,SERVICES,,,6/30/2017 2:20,52145,6/30/2017
1644,VENDOR 59,2935,VENDOR 59,,,89.88,USD,PR-921101-51-17-01-0000-000000,6/28/2017,HQPC-062817,5,,,,,462.63,USD,6/28/2017,                1000,SERVICES,,,6/30/2017 2:20,52145,6/30/2017
12757,VENDOR 214,2936,VENDOR 214,,HQ FUEL EXPENSES,1174.47,USD,PR-921101-51-17-01-0000-000000,6/30/2017,50335546-JUN17,1,A170110,1,,,4023.54,USD,7/6/2017,                1001,MATERIALS,,,7/14/2017 3:42,52392,7/14/2017
13211,VENDOR 242,2937,VENDOR 242,,,257.34,USD,PR-921101-51-17-01-0000-000000,7/12/2017,"FIELDS,K-MILEAGE0630",1,,,,,257.34,USD,7/12/2017,                1000,SERVICES,,,7/14/2017 3:42,52327,7/14/2017
12827,VENDOR 218,2938,VENDOR 218,,,119.84,USD,PR-921101-51-17-01-0000-000000,6/30/2017,ROTHWELL-MILEAGE0628,1,,,,,119.84,USD,7/6/2017,                1000,SERVICES,,,7/7/2017 7:16,52197,7/7/2017
81,VENDOR 2,2939,VENDOR 2,,PROPANE FOR SITE FACILITES-FORKLIFT,13.8,USD,PR-921101-51-17-01-0000-000000,6/30/2017,          9946120900,1,A170260,1,,,40.99,USD,7/3/2017,                1001,MATERIALS,,,7/7/2017 7:16,52185,7/7/2017
12762,VENDOR 215,2940,VENDOR 215,,,379.85,USD,PR-921101-51-17-01-0000-000000,5/26/2017,STEINER-MILEAGE-0525,1,,,,,379.85,USD,5/26/2017,                1000,SERVICES,,,6/2/2017 4:28,51759,6/2/2017
1644,VENDOR 59,2941,VENDOR 59,,,539.92,USD,PR-921101-51-17-01-0000-000000,5/17/2017,HQPC-05-17-17,1,,,,,982.29,USD,5/17/2017,                1000,SERVICES,,,5/19/2017 2:37,51552,5/19/2017
81,VENDOR 2,2942,VENDOR 2,,PROPANE FOR SITE FACILITES-FORKLIFT,13.8,USD,PR-921101-51-17-01-0000-000000,5/9/2017,          9944671782,1,A170260,1,,,40.99,USD,5/9/2017,                1001,MATERIALS,,,5/12/2017 8:33,51373,5/12/2017
12762,VENDOR 215,2943,VENDOR 215,,,155.69,USD,PR-921101-51-17-01-0000-000000,5/9/2017,STEINER-MILEAGE-0502,1,,,,,155.69,USD,5/9/2017,                1000,SERVICES,,,5/12/2017 8:33,51454,5/12/2017
12757,VENDOR 214,2944,VENDOR 214,,HQ FUEL EXPENSES,1420.55,USD,PR-921101-51-17-01-0000-000000,4/30/2017,49600620-APR17,1,A170110,1,,,4074.74,USD,5/2/2017,                1001,MATERIALS,,,5/5/2017 4:39,51358,5/5/2017
81,VENDOR 2,2945,VENDOR 2,,PROPANE FOR SITE FACILITES-FORKLIFT,72.54,USD,PR-921101-51-17-01-0000-000000,3/24/2017,          9061552939,1,A170260,1,,,122.36,USD,3/24/2017,                1001,MATERIALS,,,3/31/2017 2:29,50696,3/31/2017
12816,VENDOR 217,2946,VENDOR 217,,,124.12,USD,PR-921101-51-17-01-0000-000000,3/31/2017,COATMAN-MILEAGE32317,1,,,,,124.12,USD,4/3/2017,                1000,SERVICES,,,4/7/2017 4:08,50923,4/7/2017
1644,VENDOR 59,2947,VENDOR 59,,,388.42,USD,PR-921101-51-17-01-0000-000000,3/31/2017,HQPC 03-31-17,2,,,,,386.81,USD,4/4/2017,                1000,SERVICES,,,4/7/2017 4:08,50876,4/7/2017
81,VENDOR 2,2948,VENDOR 2,,PROPANE FOR SITE FACILITES-FORKLIFT,14.06,USD,PR-921101-51-17-01-0000-000000,3/31/2017,          9943942593,2,A170260,1,,,41.52,USD,4/4/2017,                1001,MATERIALS,,,4/7/2017 4:08,50801,4/7/2017
12757,VENDOR 214,2949,VENDOR 214,,HQ FUEL EXPENSES,964.71,USD,PR-921101-51-17-01-0000-000000,3/31/2017,49227982-MAR17,1,A170110,1,,,4046.4,USD,4/4/2017,                1001,MATERIALS,,,4/7/2017 4:08,50919,4/7/2017
12816,VENDOR 217,2950,VENDOR 217,,,76.2,USD,PR-921101-51-17-01-0000-000000,4/19/2017,COATMAN-MILEAGE 0414,1,,,,,76.2,USD,4/19/2017,                1000,SERVICES,,,4/21/2017 2:29,51125,4/21/2017
12816,VENDOR 217,2951,VENDOR 217,,,76.2,USD,PR-921101-51-17-01-0000-000000,4/19/2017,COATMAN-MILEAGE 0414,1,,,,,76.2,USD,4/19/2017,                1000,SERVICES,,,4/21/2017 2:29,51125,4/21/2017
12816,VENDOR 217,2952,VENDOR 217,,,93.09,USD,PR-921101-51-17-01-0000-000000,4/19/2017,COATMAN-MILEAGE 0417,1,,,,,93.09,USD,4/19/2017,                1000,SERVICES,,,4/21/2017 2:29,51125,4/21/2017
10166,VENDOR 123,2953,VENDOR 123,,,153.49,USD,PR-921101-51-17-01-0000-000000,4/19/2017,WOOD-MILEAGE 0414,1,,,,,153.49,USD,4/19/2017,                1000,SERVICES,,,4/21/2017 2:29,51043,4/21/2017
1644,VENDOR 59,2954,VENDOR 59,,,310.51,USD,PR-921101-51-17-01-0000-000000,4/20/2017,HQPC 04-21-17,1,,,,,788.13,USD,4/20/2017,                1000,SERVICES,,,4/21/2017 2:29,51092,4/21/2017
1644,VENDOR 59,2955,VENDOR 59,,,62.72,USD,PR-921101-51-17-01-0000-000000,12/31/2014,HQPC 12-31-14,1,,,,,238.79,USD,1/7/2015,                1000,SERVICES,,,1/8/2015 9:58,OFFSET,1/8/2015
1644,VENDOR 59,2956,VENDOR 59,,,-62.72,USD,PR-921101-51-17-01-0000-000000,12/31/2014,HQPC 12-31-14-CR01,1,,,,,-238.79,USD,1/8/2015,                1000,SERVICES,,,1/8/2015 9:58,OFFSET,1/8/2015
1644,VENDOR 59,2957,VENDOR 59,,,62.72,USD,PR-921101-51-17-01-0000-000000,12/31/2014,HQPC 12-31-14-1,1,,,,,238.79,USD,1/8/2015,                1000,SERVICES,,,1/16/2015 1:52,38951,1/16/2015
1644,VENDOR 59,2958,VENDOR 59,,,108.07,USD,PR-921101-51-17-01-0000-000000,7/19/2017,HQPC-071917,6,,,,,481.41,USD,7/19/2017,                1000,SERVICES,,,7/21/2017 4:09,52470,7/21/2017
1644,VENDOR 59,2959,VENDOR 59,,,62.72,USD,PR-921101-51-17-01-0000-000000,12/31/2014,HQPC 12-30-14,2,,,,,449.78,USD,12/31/2014,                1000,SERVICES,,,1/2/2015 2:13,38745,1/2/2015
1644,VENDOR 59,2960,VENDOR 59,,,94.08,USD,PR-921101-51-17-01-0000-000000,12/31/2014,HQPC 12-30-14,3,,,,,449.78,USD,12/31/2014,                1000,SERVICES,,,1/2/2015 2:13,38745,1/2/2015
1644,VENDOR 59,2961,VENDOR 59,,,62.72,USD,PR-921101-51-17-01-0000-000000,12/31/2014,HQPC 12-30-14,6,,,,,449.78,USD,12/31/2014,                1000,SERVICES,,,1/2/2015 2:13,38745,1/2/2015
1644,VENDOR 59,2962,VENDOR 59,,,62.72,USD,PR-921101-51-17-01-0000-000000,12/31/2014,HQPC 12-30-14,7,,,,,449.78,USD,12/31/2014,                1000,SERVICES,,,1/2/2015 2:13,38745,1/2/2015
80,VENDOR 1,2963,VENDOR 1,,PROPANE FOR SITE FACILITES-FORKLIFT,102.92,USD,PR-921101-51-17-01-0000-000000,1/14/2015,          9035101481,1,A150276,1,,,145.55,USD,1/14/2015,                1001,MATERIALS,,,1/16/2015 1:52,38900,1/16/2015
817,VENDOR 32,2964,VENDOR 32,"Fuel for COMPANYny car GM, JACQUELINE GAS 57444148902  ",,23.28,USD,PR-921101-51-17-01-0000-000000,2/20/2015,MCFEB15,316,,,,,80993.26,USD,2/20/2015,                9600,MASTER CARD,,,3/2/2015 1:29,7521,3/2/2015
1644,VENDOR 59,2965,VENDOR 59,,,31.05,USD,PR-921101-51-17-01-0000-000000,2/19/2015,HQPC 02-18-15,6,,,,,451,USD,2/19/2015,                1000,SERVICES,,,2/20/2015 2:17,39383,2/20/2015
1644,VENDOR 59,2966,VENDOR 59,,,64.4,USD,PR-921101-51-17-01-0000-000000,2/19/2015,HQPC 02-18-15,1,,,,,451,USD,2/19/2015,                1000,SERVICES,,,2/20/2015 2:17,39383,2/20/2015
11116,VENDOR 150,2967,VENDOR 150,,FUEL - HQ FLEET,-1000.78,USD,PR-921101-51-17-01-0000-000000,2/9/2015,079127346501-JA-CR01,2,A150058,3,,,-2890.88,USD,2/11/2015,                1001,MATERIALS,,,2/11/2015 7:12,OFFSET,2/11/2015
11116,VENDOR 150,2968,VENDOR 150,,FUEL - HQ FLEET,1000.78,USD,PR-921101-51-17-01-0000-000000,2/9/2015,079127346501-JAN15,2,A150058,3,,,2890.88,USD,2/9/2015,                1001,MATERIALS,,,2/11/2015 7:12,OFFSET,2/11/2015
11116,VENDOR 150,2969,VENDOR 150,,FUEL - HQ FLEET,1000.78,USD,PR-921101-51-17-01-0000-000000,2/9/2015,079127346501 JAN15,2,A150058,3,,,2890.88,USD,2/11/2015,                1001,MATERIALS,,,2/13/2015 2:28,39309,2/13/2015
1644,VENDOR 59,2970,VENDOR 59,,,225.4,USD,PR-921101-51-17-01-0000-000000,1/28/2015,HCPC 01-28-15,2,,,,,451.89,USD,1/28/2015,                1000,SERVICES,,,1/30/2015 2:15,39127,1/30/2015
817,VENDOR 32,2971,VENDOR 32,Fleet EV Test Drive  USA*Snack Soda Vending HQ CITY,,1,USD,PR-921101-51-17-01-0000-000000,3/23/2015,MCMAR15,131,,,,,78503.25,USD,3/23/2015,                9600,MASTER CARD,,,3/30/2015 6:26,7552,3/30/2015
817,VENDOR 32,2972,VENDOR 32,Fleet EV Test Drive  USA*Snack Soda Vending HQ CITY,,2,USD,PR-921101-51-17-01-0000-000000,3/23/2015,MCMAR15,132,,,,,78503.25,USD,3/23/2015,                9600,MASTER CARD,,,3/30/2015 6:26,7552,3/30/2015
1644,VENDOR 59,2973,VENDOR 59,,,239.78,USD,PR-921101-51-17-01-0000-000000,3/25/2015,HQPC 032515,1,,,,,715.38,USD,3/25/2015,                1000,SERVICES,,,3/27/2015 2:40,39837,3/27/2015
817,VENDOR 32,2974,VENDOR 32,"Fuel for COMPANYny car GM, JACQUELINE USA 63116 SAN DIEGO",,18.87,USD,PR-921101-51-17-01-0000-000000,3/23/2015,MCMAR15,290,,,,,78503.25,USD,3/23/2015,                9600,MASTER CARD,,,3/30/2015 6:26,7552,3/30/2015
81,VENDOR 2,2975,VENDOR 2,,PROPANE FOR SITE FACILITES-FORKLIFT,20.78,USD,PR-921101-51-17-01-0000-000000,2/28/2015,          9036734708,1,A150276,1,,,64.23,USD,3/2/2015,                1001,MATERIALS,,,3/6/2015 1:41,39498,3/6/2015
11116,VENDOR 150,2976,VENDOR 150,,FUEL - HQ FLEET,626.72,USD,PR-921101-51-17-01-0000-000000,2/28/2015,079127346502-FEB15,2,A150058,3,,,2095.69,USD,3/3/2015,                1001,MATERIALS,,,3/13/2015 2:18,39663,3/13/2015
1644,VENDOR 59,2977,VENDOR 59,,,322,USD,PR-921101-51-17-01-0000-000000,3/5/2015,HQPC 03-05-15,2,,,,,586.86,USD,3/5/2015,                1000,SERVICES,,,3/6/2015 7:24,39596,3/6/2015
817,VENDOR 32,2978,VENDOR 32,EV Test Drive  USA*Snack Soda Vending HQ CITY,,2,USD,PR-921101-51-17-01-0000-000000,4/22/2015,MCAPR15,166,,,,,65339.69,USD,4/22/2015,                9600,MASTER CARD,,,5/1/2015 2:03,7598,5/1/2015
1644,VENDOR 59,2979,VENDOR 59,,,64.4,USD,PR-921101-51-17-01-0000-000000,3/31/2015,HQPC 03-31-15,1,,,,,316.95,USD,4/2/2015,                1000,SERVICES,,,4/17/2015 2:52,40155,4/17/2015
11116,VENDOR 150,2980,VENDOR 150,,FUEL - HQ FLEET,1033.95,USD,PR-921101-51-17-01-0000-000000,3/31/2015,079127346503-MAR15,2,A150058,3,,,3653.3,USD,3/31/2015,                1001,MATERIALS,,,4/10/2015 2:52,40060,4/10/2015
1644,VENDOR 59,2981,VENDOR 59,,,485.88,USD,PR-921101-51-17-01-0000-000000,9/10/2015,HQPC 09-10-15,3,,,,,782.83,USD,9/10/2015,                1000,SERVICES,,,9/11/2015 5:14,42267,9/11/2015
11116,VENDOR 150,2982,VENDOR 150,,FUEL - HQ FLEET,1292.17,USD,PR-921101-51-17-01-0000-000000,7/31/2015,079127346507-JUL15,1,A150058,3,,,3471.57,USD,7/31/2015,                1001,MATERIALS,,,8/14/2015 2:48,41852,8/14/2015
817,VENDOR 32,2983,VENDOR 32,propane  GAS 57444148209  ,,13.49,USD,PR-921101-51-17-01-0000-000000,7/22/2015,MCJULY15,120,,,,,86444.67,USD,7/22/2015,                9600,MASTER CARD,,,7/31/2015 1:48,7701,7/31/2015
1644,VENDOR 59,2984,VENDOR 59,,,450.8,USD,PR-921101-51-17-01-0000-000000,7/28/2015,HQPC 07-28-15,1,,,,,634.47,USD,7/28/2015,                1000,SERVICES,,,7/31/2015 3:51,41630,7/31/2015
11116,VENDOR 150,2985,VENDOR 150,,FUEL - HQ FLEET,1103.52,USD,PR-921101-51-17-01-0000-000000,6/30/2015,079127346506-JUN15,1,A150058,3,,,3679.33,USD,7/1/2015,                1001,MATERIALS,,,7/10/2015 2:47,41336,7/10/2015
11116,VENDOR 150,2986,VENDOR 150,,FUEL - HQ FLEET,999.32,USD,PR-921101-51-17-01-0000-000000,5/31/2015,079127346505-MAY15,1,A150058,3,,,3556.07,USD,6/2/2015,                1001,MATERIALS,,,6/12/2015 5:15,40953,6/12/2015
1644,VENDOR 59,2987,VENDOR 59,,,288.08,USD,PR-921101-51-17-01-0000-000000,6/23/2015,HQPC062515,4,,,,,779.3,USD,6/23/2015,                1000,SERVICES,,,6/26/2015 5:16,41120,6/26/2015
1644,VENDOR 59,2988,VENDOR 59,,,207,USD,PR-921101-51-17-01-0000-000000,5/31/2015,HQPC053115,3,,,,,587.08,USD,6/2/2015,                1000,SERVICES,,,6/5/2015 4:34,40830,6/5/2015
11116,VENDOR 150,2989,VENDOR 150,,FUEL - HQ FLEET,1108.93,USD,PR-921101-51-17-01-0000-000000,4/29/2015,079127346504-APR15,1,A150058,3,,,3607.29,USD,4/29/2015,                1001,MATERIALS,,,5/8/2015 3:39,40453,5/8/2015
1644,VENDOR 59,2990,VENDOR 59,,,29.9,USD,PR-921101-51-17-01-0000-000000,4/30/2015,HQPC 04-30-15,3,,,,,383.02,USD,5/4/2015,                1000,SERVICES,,,5/8/2015 3:39,40441,5/8/2015
1644,VENDOR 59,2991,VENDOR 59,,,64.4,USD,PR-921101-51-17-01-0000-000000,4/30/2015,HQPC 04-30-15,8,,,,,383.02,USD,5/4/2015,                1000,SERVICES,,,5/8/2015 3:39,40441,5/8/2015
12052,VENDOR 176,2992,VENDOR 176,,,107.53,USD,PR-921101-51-17-01-0000-000000,5/6/2015,FLOSI-MILEAGE-043015,1,,,,,107.53,USD,5/6/2015,                1000,SERVICES,,,5/8/2015 3:39,40430,5/8/2015
8609,VENDOR 110,2993,VENDOR 110,,,29.9,USD,PR-921101-51-17-01-0000-000000,5/29/2015,WILSON-TRVL-051515,2,,,,,110.4,USD,5/29/2015,                1000,SERVICES,,,6/5/2015 4:34,40804,6/5/2015
81,VENDOR 2,2994,VENDOR 2,,PROPANE FOR SITE FACILITES-FORKLIFT,105.72,USD,PR-921101-51-17-01-0000-000000,5/29/2015,          9039805298,1,A150276,1,,,148.33,USD,5/29/2015,                1001,MATERIALS,,,6/5/2015 4:34,40750,6/5/2015
11116,VENDOR 150,2995,VENDOR 150,,FUEL - HQ FLEET,1528.56,USD,PR-921101-51-17-01-0000-000000,9/30/2015,07912734650-SEP15,1,A150058,3,,,3823.18,USD,9/30/2015,                1001,MATERIALS,,,10/9/2015 6:33,42727,10/9/2015
1644,VENDOR 59,2996,VENDOR 59,,,433.56,USD,PR-921101-51-17-01-0000-000000,9/30/2015,HQPC 09-30-15,1,,,,,761.55,USD,9/30/2015,                1000,SERVICES,,,10/2/2015 7:06,42594,10/2/2015
81,VENDOR 2,2997,VENDOR 2,,PROPANE FOR SITE FACILITES-FORKLIFT,40,USD,PR-921101-51-17-01-0000-000000,9/17/2015,          9043378557,1,A150276,1,,,39.6,USD,9/17/2015,                1001,MATERIALS,,,9/18/2015 6:15,42271,9/18/2015
11116,VENDOR 150,2998,VENDOR 150,,FUEL - HQ FLEET,1171.01,USD,PR-921101-51-17-01-0000-000000,9/17/2015,079127346508-AUG15,1,A150058,3,,,4033.32,USD,9/17/2015,                1001,MATERIALS,,,9/18/2015 1:15,42374,9/18/2015
1644,VENDOR 59,2999,VENDOR 59,,,64.4,USD,PR-921101-51-17-01-0000-000000,10/21/2015,HQPC 10-21-15,4,,,,,382.61,USD,10/21/2015,                1000,SERVICES,,,10/23/2015 6:48,42963,10/23/2015
1644,VENDOR 59,3000,VENDOR 59,,,29.9,USD,PR-921101-51-17-01-0000-000000,10/21/2015,HQPC 10-21-15,8,,,,,382.61,USD,10/21/2015,                1000,SERVICES,,,10/23/2015 6:48,42963,10/23/2015
11116,VENDOR 150,3001,VENDOR 150,,FUEL - HQ FLEET,1227.22,USD,PR-921101-51-17-01-0000-000000,10/30/2015,079127346510-OCT15,1,A150058,3,,,3493.08,USD,10/30/2015,                1001,MATERIALS,,,11/13/2015 1:28,43362,11/13/2015
