Activity Code,Activity Description,Expense Code ,Expense Code Description,Expense Code Category ,Account Number ,Account Description 
2101,Longs Peak to Ft St Vrain Fiber Project,,,,,
2102,La Porte-LaPorte Tap Fiber Project,,,,,
2103,Ethernet Over Sonet,,,,,
2104,Richard Lake-Timnath 231kV Transmission Project,,,,,
2105,Doble IDD Intelligent Diagnostic Sys (Boyd Transfor0.00,,,,,
2106,Video Server for Substations,,,,,
2107,Annual Breaker Replacements,,,,,
2109,Meadow Substation Circuit Swithcher Replacement,,,,,
2110,Boyd Substation Cable Storage area,,,,,
2111,Timberline Harmony Upgrade,,,,,
2112,Transformer Pad at Longs Peak Substation,,,,,
2113,Breaker Rplcmt-OCB2166 Longs Peak Sub,,,,,
2114,Longs Peak-Terry Modification,,,,,
2115,Boyd Substation OCB Replacement,,,,,
2116,Spare GGB Breakers,,,,,
2117,GPS Clock/Timing source for DRC and Microwave Room,,,,,
2118,City of Longmont Load Shedding Project,,,,,
2119,City of Loveland Data Sharing Project,,,,,
2120,Timberline CCVT Cable Upgrade,,,,,
2121,Boyd Substation Water Tap,,,,,
2122,BN Transmission Easement Longs Peak-Terry,,,,,
2123,Mary's Lake Substation Modifications,,,,,
2124,Harmony-Portner-Boyd 230kV Transmission Line,,,,,
2125,Ft St Vrain Substation Modifications,,,,,
2126,Boyd Substation Addition,,,,,
2128,Watthour Meter Test and Calibration System,,,,,
2129,Timberline Substation Expansion (City of Fort Colli0.00,,,,,
2130,Richard Lake RTU/Relay Upgrade,,,,,
2131,Boyd Barn Security System,,,,,
2132,Terry Fordham Easement Work,,,,,
2133,Longs Peak Retaining Wall,,,,,
2134,DILO Gas Leak Detector,,,,,
2135,Rawhide Switch Replacement,,,,,
2137,Loveland East Transformer Addition,,,,,
2138,Substation Security Walls,,,,,
2140,Substation Security System,,,,,
2143,Fort Collins Portner Substation,,,,,
2146,Overland Substation Removal,,,,,
2147,Harvard Substation Circuit Switcher Replacement,,,,,
2148,College Lake 230kV Substation,,,,,
2149,Fiber Relocation I-25 & Crossroads Blvd,,,,,
2150,OFS Fitel Fusion Splicer,,,,,
2151,Remote Breaker Racking System,,,,,
2152,Fiber Locating System,,,,,
2153,Boyd 115/230kV Transformer Installation (T2),,,,,
2154,Ft St Vrain-Fordham (Tri-State),,,,,
2155,Dixon Creek-Horseshoe (Tri-State),,,,,
2156,Ft St Vrain-Fordham (WAPA),,,,,
2157,Dixon Creek-Horseshoe (WAPA),,,,,
2158,Airport Substation Addition (Kelim),,,,,
2159,LaPorte Substation Modifications,,,,,
2160,Microwave Network Upgrade,,,,,
2162,Harmony Substation Battery Bank & Rack Replacement,,,,,
2163,LaPorte RTU Replacement,,,,,
2165,WAPA Capital Projects,,,,,
2166,Microwave Frequency Counter/Power Meter/DVM,,,,,
2167,Trench Metering Units for CTs,,,,,
2168,Panorama Peak Standby Generator,,,,,
2169,Timberline Substation Perimeter Wall,,,,,
2170,Dixon Creek Substation Perimeter Wall/Landscaping,,,,,
2171,Medicine Bow Switch & Substation Avian Protection,,,,,
2172,Fordham-Ft St Vrain Fiber CT Relaying,,,,,
2173,Harmony-Portner-Boyd Fiber CT Relaying,,,,,
2174,Dixon Creek-Horseshoe Fiber CT Relaying,,,,,
2175,Boyd Lean-To,,,,,
2176,Boyd to DRC Fiber Project,,,,,
2177,Crossroads Transformer Addition (T2),,,,,
2178,LaPorte 230kV Breaker Addition,,,,,
2179,Meadow Substation Ring Breaker,,,,,
2180,Secure Critical Substations,,,,,
2181,Timberline Substation 115/230kV Transformer (T4),,,,,
2182,Terry Street Substation Perimeter Wall,,,,,
2183,Mary's Lake Battery Bank Replacement,,,,,
2184,Long Haul East Fiber Relocation,,,,,
2185,Terry Street Substation Circuit Switcher Upgrade,,,,,
2186,Battery Charger Replacment (Harmony & Longs Peak),,,,,
2187,Carey Substation OPGW,,,,,
2188,Battery Bank Replacement Estes Substation,,,,,
2189,Relay Replacement Upgrades,,,,,
2190,Breaker Replacement - Longs Peak Substation Breaker0.00,,,,,
2191,Dilo Company SF6 Leak Detector,,,,,
2192,Battery Bank and Charger Replacement - Northwest Su0.00,,,,,
2193,Breaker Replacement - Timberline Substation Breaker0.00,,,,,
2194,Breaker Replacement - Valley Substation Breaker 2620.00,,,,,
2195,Valley MOD 1163 and MOD 1263 Replacement,,,,,
2196,Waukesha Nitrogen Generator,,,,,
2199,Doble F6150 Test Set Upgrade,,,,,
2200,Avery Substation Interconnection,,,,,
2201,Locating Equipment,,,,,
2202,Horseshoe T3 & T4 Addition,,,,,
2203,Breaker Replacement - Timberline Substation Breaker0.00,,,,,
2204,Battery Bank Replacement - LaPorte Bank #2,,,,,
2205,Battery Bank Replacement - Rawhide Bank#2,,,,,
2206,"Breaker Replacement - Boyd 2062, 3062, 3166",,,,,
2209,Breaker Replacement - LaPorte Breaker 1062,,,,,
2210,Breaker Replacement - LaPorte Breaker 1166,,,,,
2211,Breaker Addition - Linden Tech Breaker 462,,,,,
2213,HVAC Unit Addition - Longmont Northwest Substation,,,,,
2214,Battery Impedence Tester,,,,,
2215,Rawhide - LaPorte 230kV Structure and Foundation Re0.00,,,,,
2216,Roof Replacement - Airport Substation,,,,,
2219,OPGW Rawhide to I-25,,,,,
2220,OPGW Rawhide to LaPorte,,,,,
2221,Boyd (Longs Peak) Relay Replacement,,,,,
2222,Longs Peak (Boyd) Relay Replacement,,,,,
2223,Linden Tech Substation Relay Replacement,,,,,
2224,Battery Bank Replacements,,,,,
2226,Breaker Replacements - Rawhide Breakers 2142 and 210.00,,,,,
2227,Emergency Storm Structures - Wood Poles,,,,,
2228,LaPorte Substation  - 115kV Adaptation and Refurbis0.00,,,,,
2229,LaPorte Substation - 230kV Expansion,,,,,
2231,Transmission Line Vault Upgrades - Rogers Road,,,,,
2235,Security - Longs Peak Substation,,,,,
2236,"Relay Replacement - Ault KU1C (Western Joint Facili34,400.00",,,,,
2237,Phase Angle Test Set,,,,,
2238,Battery Bank Replacement - LaPorte Substation Bank,,,,,
2239,LaPorte Substation Roof Replacement,,,,,
2240,Relay Replacement Upgrade - Timberline T3,,,,,
2241,Roof Replacement - Richards Lake,,,,,
2242,Relay Addition - Dixon Creek,,,,,
2243,Airport Bank 2,,,,,
2244,Loveland West Bank 2,,,,,
2245,Rawhide Bank 1,,,,,
2246,Interconnection Transformer - Rawhide Flats Solar,,,,,
2247,Breaker Replacement - Richard Lake 562,,,,,
2248,"Transformer Replacement - Ault KU1A345/230kV - West2,198,000.00",,,,,
2249,RTU Replacement - Drake Substation,,,,,
2250,"Circuit Switcher (T1) Addition, Breaker Replace",,,,,
2252,Foothills Substation,,,,,
2254,"Oil Breaker (2062/2066) Replacments and Relay Upgra700,184.45",,,,,
2255,"Generation Availability Transformer - Rawhide Subst1,662,462.27",,,,,
2256,"Oil Breaker (362/462) Replacements and Relay Upgrad141,245.30",,,,,
2257,Oil Breaker (164) Replace - Terry Street Sub,,,,,
2258,"Oil Breaker (2082) Replacement - Timberline Substat2,971.88",,,,,
2259,Sign Installations - 230kV Substations,,,,,
2261,HVAC Unit Replacements - Substations,,,,,
2262,"Station Service Replacement - Ault Substation - Wes190,538.00",,,,,
2263,Breaker (1586/1482) Replacements - Ault Substation,,,,,
2265,"Surge Arrestors - Ault Substation (Western Joint Fa14,000.00",,,,,
2266,Battery Bank Replacement-Crossroads Bank #1,,,,,
2267,Battery Bank Replacement-Terry Street Bank#2,,,,,
2268,Battery Bank Replacement-Rogers Road Bank #2,,,,,
2269,"Relay Addition - Craig-Ault 345kV (Western Joint Fa5,040.00",,,,,
2271,Airflow Spoilers,,,,,
2273,HVAC Unit Replacements - Substations,,,,,
2274,Micro-ohm Meter,,,,,
2275,Nitrogen Generator - Longs Peak Transformer Bank #20.00,,,,,
2281,Low Impact Security - Substations (owned),,,,,
2282,Low Impact Security - Sub Control Building A,,,,,
2283,SF6 Gas Cart Replacement,,,,,
2284,Relay Replacements - Longs Peak Substation T1 & T2,,,,,
2285,NA,,,,,
2286,NA,,,,,
2287,NA,,,,,
2901,Laporte-Poudre-Overland,,,,,
2902,Transmission Struct. In,,,,,
2903,Loveland East/City Of L,,,,,
2904,Union Pac. Rr. Rgt Of W,,,,,
2905,Work For City Of Longmont,,,,,
2906,Pvrea Transfrm Add/Airport,,,,,
2907,Maintenance Of Yuma Sub,,,,,
2908,Work For Proxair,,,,,
2909,Pole Relocation,,,,,
2910,Longmont Drafting,,,,,
2911,Relay Calibration/Kodak,,,,,
2912,Loveland Drafting Service,,,,,
2913,Relocation of Estes Substation,,,,,
2914,Pole Relocation,,,,,
2915,Highway 36 Pole Relocation,,,,,
2916,Work for City of Fort Collins,,,,,
2917,Work for City of Loveland,,,,,
2918,Work For City of Longmont,,,,,
2919,Work for Town of Estes Park,,,,,
2920,Pole Relocation City of Fort Collins,,,,,
2921,Loveland Court House Fiber Work,,,,,
2922,Pole Relocation City of Longmont,,,,,
2923,A1 Transformer to Boyd Lake,,,,,
2924,Work for Praxair,,,,,
2925,City of Loveland Substation Maintenance,,,,,
2926,City of Longmont Spill Containment,,,,,
2927,Locate Fees for the City of Fort Collins,,,,,
2928,Dixon Creek Additons,,,,,
2929,Horsetooth Substation Additions,,,,,
2930,Fordham Substation Additions,,,,,
2931,Emergency 911 Feed (Broomfield PD),,,,,
2932,Harvard Substation Oil Retention,,,,,
2933,Richard Lake Additions,,,,,
2934,WAPA Rebuild Hwy 34 to Airport,,,,,
2935,Loveland East Transformer Addition,,,,,
2936,Fort Collins Portner Substation,,,,,
2937,Fort Collins North East Substation,,,,,
2991,Not Currently Using,,,,,
2992,Not Currently Using,,,,,
2995,NA,,,,,
3002,Blanket-Furniture and Equipment,,,,,
3003,Blanket-Communication Equipment,,,,,
3004,Blanket-General Equipment,,,,,
3005,Blanket-Transportation Equipment,,,,,
3006,Blanket-Computer Equipment,,,,,
3011,Additional Office Space,,,,,
3012,ADA Compliance Upgrade,,,,,
3013,Replace Phone Sys Pbx,,,,,
3014,Scada System Replacement,,,,,
3015,Client Server Computing,,,,,
3016,Maint Vehicle Storage,,,,,
3017,Internet Server,,,,,
3018,North Carport Remodel,,,,,
3019,Office Remodel,,,,,
3020,Pso Hvac Upgrade,,,,,
3021,Telecommunications,,,,,
3022,Office Remodel,,,,,
3023,Dispatch Center Remodel,,,,,
3024,Acct/HR System Replacement,,,,,
3026,CHAMPS Replacement,,,,,
3027,Security System Upgrade,,,,,
3028,Voice Recorder,,,,,
3029,Market Information System,,,,,
3031,Upgrade Air Handling System,,,,,
3032,Exercise Room,,,,,
3036,Computer Room Modification,,,,,
3038,Closet Cable Tray,,,,,
3041,Medicine Bow Wind Site Radio,,,,,
3042,Platte River Employees Memorial,,,,,
3043,Remodel Projects,,,,,
3047,Digital Fault Recorder,,,,,
3048,PSO Maintenance Office Addition,,,,,
3049,Dispatch Kitchen/Bathroom Remodel,,,,,
3050,PSO Remodel HVAC Addition,,,,,
3051,IT Licensing Audit Project,,,,,
3052,PSO Offoce Remodel,,,,,
3053,CHAMPS and Geac Interface,,,,,
3056,Facilities Roof Replacement,,,,,
3058,Gate Replacement,,,,,
3059,Remodel Projects,,,,,
3061,SCADA Network Security,,,,,
3062,Active Access,,,,,
3066,Database Application Server,,,,,
3067,Disaster Recovery Center Project,,,,,
3069,Intranet,,,,,
3070,System Consulting,,,,,
3071,Microwave HVAC,,,,,
3073,IT Test Server,,,,,
3074,Upgrade Network Project,,,,,
3075,Wellness Center,,,,,
3076,Platte River Power Authority Signs,,,,,
3077,DRC Security,,,,,
3078,Redundant ISP Project,,,,,
3079,Engineering Line Design Program,,,,,
3080,Geac Server Upgrade,,,,,
3081,Network Expansion ENTERASYS Switch Upgrades,,,,,
3082,Upgrade Application Server,,,,,
3084,Software Audit and Desktop Support System (SMS),,,,,
3085,Enterprise Storage Area Network,,,,,
3086,Network Intrusion System,,,,,
3087,Replace Desktop Backup System,,,,,
3088,Enterprise Backup Solution,,,,,
3089,Terminal Server,,,,,
3094,General IT Software Project,,,,,
3097,Barrier Gates for Headquarters,,,,,
3098,CHAMPS Server Replacement,,,,,
3100,DRC Fire Safe,,,,,
3102,Facilities & Pool Garage Roof Replacement,,,,,
3104,MacIntosh Graphics Workstation,,,,,
3105,NOC-Networks Operation Center Phase II,,,,,
3107,Redundant Internet Connecton DRC,,,,,
3108,SANS Array with Enterprise Backup System Phase II,,,,,
3109,SCADA Replacement,,,,,
3111,Terminal Server,,,,,
3112,IT/Communication Space,,,,,
3113,Maintenance Management System for WSCC,,,,,
3114,Network Infrastructure Upgrades,,,,,
3115,SAN Expansion,,,,,
3117,Server Management Implementation,,,,,
3118,Video Conferencing,,,,,
3119,HQ Shake Shingle Replacement,,,,,
3120,HVAC Replacement at PSO,,,,,
3121,Core Switch Upgrade,,,,,
3122,Hi-Ranger Bucket Truck Replacement,,,,,
3123,Communications Room,,,,,
3124,Cooling Tower Replacement,,,,,
3125,HQ Flat Roof Replacement,,,,,
3126,Camera and Cars Access Control System Upgrade,,,,,
3127,Proximity Based Secure Login,,,,,
3128,MV 90 Migration,,,,,
3132,SCADA Upgrade,,,,,
3133,Badging Room HVAC,,,,,
3134,HQ Rewiring Project,,,,,
3135,"Cisco Security Monitoring, Analysis and Response Sy0.00",,,,,
3136,Increase Storage Are Network Capacity,,,,,
3139,HVAC Replacement in PSO,,,,,
3140,Vehicle Lift in Maintenance Shop,,,,,
3141,PI Historian System,,,,,
3142,Video Conferencing -PSO,,,,,
3143,Accounts Payable Check Printing Upgrade,,,,,
3144,Electronic Records Management Project,,,,,
3145,Disaster Recovery Center Generator,,,,,
3146,HVAC Unit Replacement (PSO),,,,,
3147,SONET Equipment Replacement,,,,,
3148,Telephone Switch Upgrade,,,,,
3150,CCTV Equipment Replacement,,,,,
3151,Dictaphone Replacement,,,,,
3152,SCADA Room Remodel,,,,,
3154,High Density Records Shelving - HQ,,,,,
3155,Fire Vault High Density Shelving - HQ,,,,,
3156,Microsoft Exchange 2007 Upgrade,,,,,
3157,Electronic Content Management System,,,,,
3158,Backup/Disaster Recovery Software Upgrade,,,,,
3159,Rawhide Network Attached Storage,,,,,
3160,Headquarters Pond Improvements/Dredging,,,,,
3161,Headquarters HVAC Controls/Air Handler,,,,,
3164,HQ Bldg HVAC AHU #2 Replacement,,,,,
3165,SCADA Server Replacement,,,,,
3166,IT Room Modifications,,,,,
3167,Critical Infrastructure Protection,,,,,
3168,Server Virtualization,,,,,
3170,Cyber Security Intrusion Prevention Equipment,,,,,
3171,Network Equipment for Internet Access Network,,,,,
3172,PI Server Upgrade,,,,,
3175,Storage Area Network Replacement,,,,,
3177,Elevator Replacement,,,,,
3178,Electronic Logging Software,,,,,
3182,Server Virtualization Phase 2,,,,,
3183,HQ/RH Security Upgrades,,,,,
3184,PSO HVAC Controls Upgrade,,,,,
3187,Training Room Office Addition,,,,,
3188,Information Protection Network Upgrade,,,,,
3190,Warehouse Setup,,,,,
3191,Safety Truck Upfit,,,,,
3192,EO Building Ceiling Replacement,,,,,
3193,CIP Compliance Status Monitoring,,,,,
3194,CIP Compliance Backup System,,,,,
3195,Communication Battery and Charger Replacement,,,,,
3196,Operations Two-way Radio Replacement,,,,,
3197,PBX 9-1-1 Project,,,,,
3198,SONET Redundancy Communications and DRC,,,,,
3199,Telephone Switch Redundancy and ISDN Implementation0.00,,,,,
3201,Compellent Storage Area Network Expansion,,,,,
3202,EO Building Dual Reduandant UPS Upgrade,,,,,
3203,Fleet Replacements,,,,,
3204,HQ Fleet Parts Washer,,,,,
3205,Microwave Building HVAC Controls and Unit Replaceme0.00,,,,,
3206,Rawhide and Headquarters Security Additions,,,,,
3207,Tape Backup System Replacement,,,,,
3209,HQ Office Additions,,,,,
3210,Fiber Splicing Truck Addition,,,,,
3211,HQ Roofs Replacement,,,,,
3212,SharePoint Version History Report,,,,,
3213,Data Backup Redesign Phase I,,,,,
3214,RH Substation - Aurora Mitigation,,,,,
3216,Desktop Data Backup Replacement,,,,,
3217,CIP Storage Expansion,,,,,
3218,Alerton Controls for HQ Electrical/Gas/Irrigation,,,,,
3219,Substation Security Projects,,,,,
3220,Microwave HVAC Replacements,,,,,
3223,OSI PI High Availability,,,,,
3224,Dispatch and Disaster Recovery Center Phone Systems0.00,,,,,
3225,Dispatch and Disaster Recovery Center Voice Logging0.00,,,,,
3227,Cisco Infrastructure Refresh,,,,,
3229,Portable T1 Tester,,,,,
3230,Battery Conductive Testers,,,,,
3231,HQ & RH ADA Enhancements,,,,,
3232,HQ Office Modifications,,,,,
3233,OSI PI Expansion,,,,,
3234,Scheduling Package Software,,,,,
3235,Acronis Storage Expansion,,,,,
3237,High Density Shelving - CMB Central Files,,,,,
3238,DRC UPS Replacement,,,,,
3241,HQ Irrigation System Redesign and Construction,,,,,
3244,Genie 560 Man-Lift,,,,,
3252,Auto-CAD Plant Design,,,,,
3253,Wireless Expansion,,,,,
3254,Engineering Document Management Software (EDMS),,,,,
3255,Lock Out Tag Out Computer System (LOTO),,,,,
3256,SKM Software Upgrade,,,,,
3259,SCADA and CIP Security Incident and Event Monitorin0.00,,,,,
3260,SCADA Network Switch Replacement,,,,,
3261,Communications Room Battery Replacements,,,,,
3262,Communications Test Set Replacement,,,,,
3265,Optical Time Domain Reflectometer,,,,,
3267,Compellent Disk and Shelf,,,,,
3268,Fiber Conduit Install,,,,,
3269,Infor Query and Reporter for Smartstream,,,,,
3270,Comm Vault Capacity License Upgrade,,,,,
3271,Corporate Firewall to Support V-LAN Segments,,,,,
3272,Digital Cross Connect Equipment Replacement,,,,,
3273,HVAC Replacement - Electric Operations,,,,,
3274,Fiber Cable Replacement - Estes Park,,,,,
3275,Fiber Splicer Replacement,,,,,
3276,Landscape Improvements - HQ Southeast Corner,,,,,
3277,MPLS Switch and Management System,,,,,
3278,Oil Filter Press Trailer,,,,,
3282,SCADA Server Replacement,,,,,
3283,Storage Array Replacement,,,,,
3284,Telephone Switch UPS - HQ and Rawhide,,,,,
3285,Telephone VOIP Switch Replacement,,,,,
3286,Virtualization Hardware Replacement,,,,,
3287,Electric Cart Replacements,,,,,
3288,Roof Replacement - Electric Operations Building,,,,,
3289,SCADA Test Environment,,,,,
3290,Office Furniture - Electric Operations,,,,,
3291,Drake Backbone Fiber Build,,,,,
3292,Dixon Creek Fiber Backbone Rebuild,,,,,
3293,Office Furniture - Headquarters Buffalo Room,,,,,
3294,Trimble GPS Unit Purchase,,,,,
3295,Fiber Optic Route to Estes Park,,,,,
3296,SolarWinds NetFlow Module - SCADA Services,,,,,
3298,Patch Panel Replacement - Boyd Substation,,,,,
3300,Patch Panel Replacement - Harmony Substation,,,,,
3304,Patch Panel Replacement - Longs Peak Substation,,,,,
3306,Patch Panel Replacement - Rawhide Relay Room,,,,,
3308,Battery Replacements - Panorama Peak,,,,,
3310,Modular Messaging Replacement,,,,,
3311,Optical Time Domain Reflectometer Replacements,,,,,
3312,PBX Telephone System Server Replacements,,,,,
3313,SONET Communication System Replacement,,,,,
3314,Headquarters Campus,,,,,
3315,Boom Truck Replacement,,,,,
3316,Bucket Truck Replacement and Addition,,,,,
3317,Office Furniture Replacement - General Manager,,,,,
3318,Generator Replacement - Trailer,,,,,
3320,Plotter Replacement - Rawhide,,,,,
3324,Man-Lift and Trailer,,,,,
3325,Jib Extension for Substation Crane,,,,,
3326,Roof Fall Protection - EO & HQ,,,,,
3327,Equal Logic SAN Replacement,,,,,
3328,Office Furniture-Electric Operations,,,,,
3329,Fiber Fusion Splicer Kit,,,,,
3330,Bucket Truck Replacement,,,,,
3331,City Billing Program,,,,,
3332,Fiber Power Meter Replacement,,,,,
3339,"Patch Panel Replacement - Rawhide Generation Perime7,370.70",,,,,
3341,SCADA Periodic Network Equipment Replacement,,,,,
3342,SCADA Periodic Server Equipment Replacement,,,,,
3343,SCADA Periodic Storage Equipment Replacement,,,,,
3346,Substation Maintenance Application,,,,,
3347,Transmission System Simulator,,,,,
3348,Utility Task Vehicle,,,,,
3349,Telecom Network Timing System Replacement,,,,,
3350,Video Conferencing - Board and Hearing Rooms,,,,,
3351,Fiber Manager Software,,,,,
3352,Light Tower Replacement,,,,,
3353,Office Spaces - HQ Building,,,,,
3354,HQ Campus - Land Acquisition,,,,,
3355,Server Hardware for Network Monitoring,,,,,
3356,Copier Replacements - Headquarters,,,,,
3901,Electric Vehicle Demo,,,,,
3902,Bio-Mass Burner,,,,,
3903,Transportation Study,,,,,
3904,Small Hydro Study,,,,,
3905,Wind Turbine,,,,,
3906,CIS/Fort Collins,,,,,
3907,CIS/Longmont,,,,,
3908,CIS/Communication Hardware,,,,,
3910,Wind Turbine/Meteorlogical Monitoring System,,,,,
3912,Telecom:PVH/Harmony Campus/Larimer Co,,,,,
3913,Praxair Outage,,,,,
3914,Loveland East Sub Maintenance,,,,,
3915,Telecom,,,,,
3916,Mobility Pilot Project,,,,,
3917,Geographic Information System,,,,,
3919,Telecom 2003,,,,,
3920,Fiber Charges,,,,,
3921,Misc Tower Work for Others,,,,,
3922,Pandemic Costs,,,,,
3924,NA,,,,,
3925,Headquarters Building Addition Study,,,,,
4501,Loveland Distribution Maintenance,,,,,
4502,Estes Park Distribution Maintenance,,,,,
4503,Common Distribution Maintenance,,,,,
4504,Distribution-PR Charges,,,,,
4505,Fiber,,,,,
4506,CIS Fort Collins,,,,,
4507,CIS Longmont,,,,,
4508,CIS-Communications Hardware,,,,,
4509,Fiber Locate Fees,,,,,
4510,Loveland Fiber Projects,,,,,
4511,Fort Collins Fiber Projects,,,,,
4512,Estes Park Fiber Projects,,,,,
4515,NA,,,,,
4517,NA,,,,,
4518,Fordham-Terry 115kv U G Replacement,,,,,
4519,Loveland East Transmitter,,,,,
4520,Horseshoe Transmitter,,,,,
4521,Crossroads Substation T2,,,,,
4522,3rd Party Unloading,,,,,
4523,Harmony Substation Wall Project,,,,,
4525,Rocky Mountain Reliabiltiy Corporation,,,,,
4526,SCADA - Loveland,,,,,
4527,SCADA - Estes Park,,,,,
4528,Peak Elevator Claim,,,,,
4529,Sprint Cell Tower Project,,,,,
4530,Fort Collins Distribution Maintenance,,,,,
4531,Longmont Distribution Maintenance,,,,,
4532,Solar Interconnection Agreement,,,,,
4533,Solar Interconnection Facilities (not transformer),,,,,
4534,Horseshoe RTU,,,,,
4536,Rawhide Flats Contracted Security,,,,,
4539,Larimer County Fiber,,,,,
5002,Outage Expenses,,,,,
5007,Minor Outage Expenses,,,,,
5008,Forced Outage,,,,,
5009,Vehicle Parts and Supplies,,,,,
5010,Inventory Write Offs,,,,,
5011,Non-Routine Projects,,,,,
5013,Document Conversion,,,,,
5015,Atomizer Wheels,,,,,
5017,Sump Line Clean Out,,,,,
5019,Work Clothing,,,,,
5020,Atomizer Nozzles,,,,,
5021,Winlectric,,,,,
5022,Denver Valve and Fitting (Swagelock),,,,,
5025,Work Boots,,,,,
5027,Cathodic Protection,,,,,
5028,Coal Mill Repairs,,,,,
5030,LED Explosion Proof Work Lights,,,,,
5032,Plant Auxiliary System Breaker Refurbishments,,,,,
5036,Rail Car Repair Parts,,,,,
5037,Stockpile Sealing - Chemicals,,,,,
5038,Track Inspections - Routine,,,,,
5040,Lime (Lime + Rail + Fuel Surcharges),,,,,
5042,Assistance - Payment in Lieu of Taxes,,,,,
5043,GE Bently Annual Service Agreement,,,,,
5044,Emerson Support Training,,,,,
5045,Large Motor Storage,,,,,
5046,Rotary Car Dumper Modifications,,,,,
5056,Water Expenses,,,,,
5057,Coal Expenses,,,,,
6001,Misc. Materials and Supplies,,,,,
6002,Work Clothing and Boots,,,,,
6004,Electrical Supplies,,,,,
6006,RTU Supplies,,,,,
6008,Overhead Line Hardware,,,,,
6010,Equipment and Vehicle Inspections,,,,,
6012,Calibration or Repair of Test or Small Equipment,,,,,
6013,Oil Testing,,,,,
6014,Underground Vault Inspections,,,,,
6015,Joint Facilities - Western,,,,,
6016,Joint Facilities - Deseret,,,,,
6017,Joint Facilities - Xcel,,,,,
6018,Joint Facilities - Tri-State,,,,,
6021,Vegetation Management,,,,,
6022,Tower Maintenance,,,,,
6023,Obsolete Inventory,,,,,
6026,Engineering Services,,,,,
6029,Inert Air,,,,,
6031,Protest,,,,,
6032,Doble,,,,,
6033,WECC Compliance,,,,,
6034,North American Transmission Forum,,,,,
6037,RMEL,,,,,
6039,Mountain States Employer Council,,,,,
6042,Terry-Fordham Line-BNSF Lease,,,,,
6043,Wire Line Crossing Permit-BNSF Lease,,,,,
6044,Transmission Wheeling from Others,,,,,
6045,Regulation - Ancillary Services,,,,,
6046,OATI webTrader,,,,,
6047,CREDA,,,,,
6048,East Meets West,,,,,
6052,WECC MIC,,,,,
6055,OATI,,,,,
6057,NAESB Electronic Information Registry,,,,,
6059,5 LTO Tape Packs,,,,,
6060,Miscellaneous Hardware,,,,,
6061,Miscellaneous Software,,,,,
6062,Miscellaneous Hardware & Software-PSP,,,,,
6063,Commvault Support,,,,,
6065,CIP-008 and CIP-009 Exercise,,,,,
6069,VMware Support,,,,,
6070,OSI PI Support,,,,,
6071,Survalent Support Agreement,,,,,
6072,LogRhythm,,,,,
6074,Cisco Support,,,,,
6076,Secret Server (Password Keeper),,,,,
6080,DocMinder Maintenance,,,,,
6081,Electric Power Training Center,,,,,
6083,North American Electric Reliability Corporation,,,,,
6084,Drafting Supplies (Plotter/Copier),,,,,
6086,Engineering Standards & Reference Materials,,,,,
6091,WECC,,,,,
6092,WESTCONNECT,,,,,
6093,WestTrans,,,,,
6095,RMRC,,,,,
6097,Training - Substation Design Engineer,,,,,
6098,IEEE Membership,,,,,
6099,CO DORA Licensing,,,,,
6101,Standby Pay,,,,,
6102,UNCC,,,,,
6106,Technical Support-Call Recording Equip (DSS),,,,,
6107,Microwave Equipment,,,,,
6109,Comsearch,,,,,
6110,Sonet Equipment,,,,,
6111,Technical Support-SONET Equipment,,,,,
6112,800 Meg Radio Costs,,,,,
6117,UTC National Conference,,,,,
6118,UTC Region 8 Meeting,,,,,
6119,Cell Phone Service,,,,,
6120,Operations Phone,,,,,
6121,Long Distance,,,,,
6122,DID Trunks,,,,,
6123,Avaya Service Agreement,,,,,
6125,CenturyLink 324 Wellington,,,,,
6126,Pipeline Control Room,,,,,
6129,Longs Peak Meters,,,,,
6130,Propane-Panorame Peak Microwave Site,,,,,
6131,Electricity-Cactus Site,,,,,
6134,Utilities Telecom Council,,,,,
6136,Robert Heron Lease,,,,,
6137,Tristate Fiber Lease Loveland to RH,,,,,
6140,RTCA - Access License,,,,,
6141,OATI - OASIS Fees,,,,,
6142,OATI - Tag Agent,,,,,
6143,OATI - Tag Authority/Approval,,,,,
6144,OATI - webTag User IDs,,,,,
6145,OATI - WebTrans Curtailment Manager,,,,,
6146,OATI - wesTTrans,,,,,
6147,RTCA - Peak Reliability,,,,,
6148,QTS-Database Renewal/Upgrade,,,,,
6149,Peak Reliability Board of Directors,,,,,
6151,WECC Chief Operator Meetings,,,,,
6154,EPTC Operator Training,,,,,
6156,NERC ILA Registration,,,,,
6157,OATI - User Conference,,,,,
6158,QTS-Usergroup Training,,,,,
6159,PSO Trainee NERC Cert,,,,,
6160,WECC Compliance Usergroup,,,,,
6165,Peak Reliability,,,,,
6167,Mountain West Transmission Group (MWTG),,,,,
6169,OATI - NITS,,,,,
6170,OATI - Non-NITS,,,,,
6171,Wheeling Due to Maintenance,,,,,
6172,Futures Price Discovery,,,,,
6173,Wind Forecasting,,,,,
6178,Crane Certification,,,,,
6181,Relay Setting Peer Reviews,,,,,
6182,Spring Canyon Wind,,,,,
6183,Silver Sage Wind,,,,,
6184,Medicine Bow Wind,,,,,
6185,DC Trip Checks,,,,,
6187,DACS Service Contract,,,,,
6190,Infrared Inspection,,,,,
6195,American Power Dispatcher Association (APDA) - SW R0.00,,,,,
